beta,avg_spread
0.000981173217225216,0.00018545443997165472
0.0012130868867511761,0.00021089330487538018
0.0014450005562771364,0.000269479612293068
0.0016769142258030965,0.00038659904232907433
0.0019088278953290566,0.0006084628244759695
0.0021407415648550168,0.0009940600843606998
0.002372655234380977,0.001589577734032031
0.0026045689039069374,0.002407237522133095
0.0028364825734328975,0.00344595785292883
0.003068396242958858,0.004700286374757581
0.003300309912484818,0.006057829050891588
0.003532223582010778,0.0070554577740866405
