node,degree_centrality,closeness,betweenness,clustering_coeff,k_shell
0,0.0013273161667109105,0.2889223466166172,2.469670772367877e-06,0.5555555555555556,10
1,0.002256437483408548,0.24817515726827738,7.640875388819615e-07,0.45588235294117646,16
2,0.0011945845500398195,0.2302738472430441,0.0002866094497355345,0.3611111111111111,7
3,0.00371648526679055,0.2959341879309652,1.1396124218418479e-05,0.5,26
4,0.0013273161667109105,0.22483090961325142,0.0006155292002444305,0.5777777777777777,9
5,0.007831165383594373,0.3015733149663414,0.0005964734259285626,0.21215663354763295,28
6,0.0007963897000265464,0.22986822255461573,2.1204763670654475e-06,0.4666666666666667,6
7,0.006902044066896735,0.24461673946477278,0.0008389174283064048,0.3273001508295626,18
8,0.001990974250066366,0.24815859790634584,6.4268241985401715e-06,0.3619047619047619,15
9,0.001990974250066366,0.20858376976654636,0.00016604867518701035,0.8095238095238095,14
10,0.0070347756835678265,0.23352711960457145,7.706341244719972e-05,0.46081277213352684,23
11,0.0003981948500132732,0.18459624801203153,0.0,1.0,3
12,0.0010618529333687285,0.22245067927641635,2.8622904500251564e-06,0.42857142857142855,7
13,0.0002654632333421821,0.2272140334680884,0.0,1.0,2
14,0.002256437483408548,0.2771454157623164,2.0169095956191924e-06,0.7352941176470589,17
15,0.0017255110167241838,0.2972231205004719,5.3650965499828283e-05,0.3333333333333333,12
16,0.00013273161667109106,0.00013273161667109106,0.0,0.0,1
17,0.001858242633395275,0.18813055323093758,3.143483062660155e-06,0.3956043956043956,14
18,0.0007963897000265464,0.2710851639507566,1.4547684591338762e-07,0.5333333333333333,6
19,0.0051765330501725515,0.2154594274438725,0.00028177926832248084,0.3076923076923077,18
20,0.006636580833554553,0.28718218654279026,0.0002434368650554735,0.19428571428571428,24
21,0.0034510220334483675,0.24240063265478753,0.00011107701007301799,0.18153846153846154,17
22,0.003849216883461641,0.21428629331772328,1.694501734787297e-05,0.6995073891625616,19
23,0.016989646933899656,0.29641770198632383,8.019539725087632e-05,0.3061023622047244,45
24,0.00623838598354128,0.28056373769028403,0.00021223130612918681,0.23589269195189638,30
25,0.001858242633395275,0.2557612974467837,0.0006091760014126351,0.6153846153846154,11
26,0.010353066100345103,0.29280057524975633,0.0003807049311623299,0.2677322677322677,30
27,0.003981948500132732,0.28803848410954186,3.20680755697469e-06,0.5057471264367817,26
28,0.02601539686753385,0.34031686936198063,0.016424119173103532,0.09497645211930926,35
29,0.0011945845500398195,0.1835032888527152,8.391167382777862e-07,0.6388888888888888,8
30,0.0027873639500929125,0.2728051717760145,0.0004021964198270766,0.20952380952380953,16
31,0.0014600477833820018,0.2289272994473966,0.00024879922791760944,0.2,8
32,0.0003981948500132732,0.2428200246023834,6.537856723729514e-07,0.3333333333333333,3
33,0.003981948500132732,0.2835260458793524,5.454594228430945e-06,0.6091954022988506,28
34,0.0017255110167241838,0.27553362770946843,2.4994772037486826e-06,0.5384615384615384,13
35,0.0003981948500132732,0.22062958455374057,0.0,1.0,3
36,0.005840191133528007,0.2888999034312662,0.0005609351855181666,0.22304439746300211,24
37,0.0009291213166976375,0.21507317662700043,0.0002719309311563817,0.14285714285714285,6
38,0.0034510220334483675,0.22345978350842102,0.0002681911894740147,0.5476923076923077,13
39,0.0043801433501460055,0.2772280501526149,5.665439110528276e-05,0.20833333333333334,24
40,0.0148659410671622,0.30791513075484583,0.0011212642229642407,0.10698198198198199,26
41,0.0046456065834881875,0.30919507060917034,0.00011179419908079661,0.3243697478991597,24
42,0.013405893283780198,0.30206318024953543,0.0001534244103025596,0.2889108910891089,45
43,0.001858242633395275,0.2527972340145735,8.575634498082013e-05,0.18681318681318682,14
44,0.0035837536501194586,0.2431216150888972,0.000398232588124688,0.37037037037037035,14
45,0.00371648526679055,0.2410495111039215,0.00021653360065737227,0.20634920634920634,16
46,0.0011945845500398195,0.2218337005649939,1.1439682555343071e-05,0.4166666666666667,9
47,0.0006636580833554553,0.2089470438395688,7.048008319187099e-09,0.9,5
48,0.004247411733474914,0.29960550262395014,8.687223733352319e-05,0.26411290322580644,25
49,0.001990974250066366,0.2476298626288305,5.2246350776842646e-06,0.49523809523809526,15
50,0.0010618529333687285,0.25411860932816815,1.936424249111434e-06,0.5,7
51,0.003981948500132732,0.272765156349278,4.400625999522228e-05,0.25517241379310346,22
52,0.0013273161667109105,0.20490636108219637,5.201649639271825e-06,0.3111111111111111,9
53,0.005840191133528007,0.23141293014481568,0.00020805120257400277,0.13424947145877378,16
54,0.0031855588001061855,0.1915706658505411,1.559967193501615e-05,0.5797101449275363,18
55,0.0003981948500132732,0.21280270680450908,3.7772536411478993e-05,0.3333333333333333,3
56,0.0011945845500398195,0.2201659261105464,8.480963634740095e-06,0.2222222222222222,9
57,0.0014600477833820018,0.2320482237917582,8.808339622525437e-07,0.6545454545454545,11
59,0.0007963897000265464,0.20456261519291596,1.5786954641923395e-05,0.6666666666666666,6
60,0.0029200955667640035,0.25602539543746977,0.00015545568847664826,0.35064935064935066,13
61,0.009689408016989648,0.29260476824848786,3.0892475190251455e-05,0.2968036529680365,39
62,0.0054419962835147336,0.2906723647379762,0.00012744448205357178,0.48292682926829267,27
64,0.0029200955667640035,0.18777910263669623,3.452710068685155e-06,0.5974025974025974,17
65,0.0003981948500132732,0.2325778817348762,0.0,1.0,3
66,0.005309264666843642,0.24507613632647393,0.0005882932182890534,0.08333333333333333,17
67,0.00371648526679055,0.24355148206164862,5.995934589916745e-05,0.2777777777777778,17
68,0.00623838598354128,0.2507096907089828,2.8612306410035867e-06,0.7798334875115633,39
69,0.010220334483674012,0.2999800699163095,2.2600337377569994e-05,0.4063568010936432,45
70,0.0011945845500398195,0.2519922018309103,0.0033688799241913,0.4166666666666667,6
71,0.0065038492168834625,0.29594596218846225,0.00020443218248273007,0.28656462585034015,28
72,0.005574727900185825,0.3012557536610429,6.513262455883554e-05,0.3228803716608595,24
73,0.019246084417308205,0.2976632043557089,0.003331381360776068,0.0721264367816092,27
74,0.0013273161667109105,0.17147250544375875,2.0821934825954557e-08,0.6666666666666666,10
75,0.004512874966817096,0.2730455111094931,4.5817202328173406e-05,0.24242424242424243,26
76,0.001990974250066366,0.2884182168920051,3.756405420904987e-06,0.6952380952380952,15
77,0.009423944783647465,0.2954287796347927,1.737740475004252e-05,0.43501006036217305,45
78,0.0049110698168303695,0.2223708763421468,0.0004091078017179281,0.6636636636636637,23
79,0.0009291213166976375,0.26600528604387264,1.7952771774448452e-08,0.7619047619047619,7
81,0.00013273161667109106,0.17336687597354178,0.0,0.0,1
82,0.0027873639500929125,0.17994740211062538,1.7617907651578267e-05,0.5571428571428572,11
83,0.0015927794000530928,0.17382874468100326,1.0763950249624805e-05,0.18181818181818182,8
84,0.002389169100079639,0.24124495876641294,8.653419937661134e-05,0.3137254901960784,14
85,0.0400849482346695,0.31071915341680145,0.0014436968855770988,0.12851202393786715,45
86,0.002256437483408548,0.2821494448145056,0.0003020835007003338,0.4852941176470588,16
87,0.0011945845500398195,0.22447808467059424,6.759834976928157e-06,0.2777777777777778,9
88,0.0046456065834881875,0.2561841161923475,0.00011393041876333936,0.35798319327731093,17
89,0.026811786567560395,0.3023701550262118,0.00035351207967078413,0.17733116595241613,45
90,0.0015927794000530928,0.2312474604751853,1.3187063566072029e-05,0.22727272727272727,10
91,0.006636580833554553,0.3037655006184837,0.0002535539229678912,0.2693877551020408,27
92,0.008494823466949828,0.29697392157323477,0.00028767093224005584,0.18154761904761904,26
93,0.0051765330501725515,0.2446730638349005,0.00036789805196389317,0.1767881241565452,17
94,0.002389169100079639,0.3002707013420317,5.773608293048483e-05,0.35294117647058826,17
95,0.0029200955667640035,0.2700125531307104,7.837358460610244e-05,0.38095238095238093,16
96,0.002256437483408548,0.22979720762596345,0.0014052983005452039,0.17647058823529413,13
97,0.0002654632333421821,0.21163415977593564,0.0,1.0,2
98,0.003981948500132732,0.2722559867371183,2.712735661113388e-06,0.49885057471264366,27
99,0.0010618529333687285,0.28662887031886286,9.788900443315415e-10,0.9642857142857143,8
100,0.005707459516856916,0.2626149489353485,0.0001537664405390076,0.3488372093023256,17
101,0.00371648526679055,0.24178604257069336,0.0001874137708585639,0.07936507936507936,16
102,0.0010618529333687285,0.2015910296938807,4.195954673436928e-05,0.6071428571428571,7
103,0.01128218741704274,0.2909679945878896,0.004328557427327986,0.22745098039215686,34
104,0.0033182904167772765,0.2517533951683751,0.00010963537251271981,0.87,24
105,0.002123705866737457,0.2856931100647108,1.6248097109886018e-05,0.3333333333333333,15
106,0.0054419962835147336,0.2787343855821333,3.666556942745655e-05,0.2780487804878049,26
107,0.00371648526679055,0.2777145241056157,5.6932369426944984e-05,0.16666666666666666,22
108,0.00371648526679055,0.25967204795408655,0.0003260661633614557,0.1402116402116402,17
109,0.00371648526679055,0.30698744587886134,4.5057204158452126e-05,0.41798941798941797,23
110,0.0003981948500132732,0.22389025114061975,1.6964527408222776e-06,0.3333333333333333,3
111,0.004114680116803823,0.2747499654136893,0.00023588732484898576,0.18494623655913978,16
112,0.0010618529333687285,0.18579043395056474,2.5074840564149774e-08,0.75,8
113,0.002123705866737457,0.2865736559425493,1.1343626607232841e-05,0.5,15
114,0.0017255110167241838,0.2760244104811047,2.629959092195498e-06,0.5128205128205128,13
115,0.002123705866737457,0.29066100635554726,1.1898314748738151e-06,0.6583333333333333,16
116,0.003981948500132732,0.2827393117547822,1.99310681189632e-05,0.2988505747126437,21
117,0.0010618529333687285,0.22547153118050348,3.170288324620554e-06,0.4642857142857143,8
118,0.0014600477833820018,0.28688313073298405,0.0014711359952620101,0.32727272727272727,9
119,0.00013273161667109106,0.22257049113240004,0.0,0.0,1
120,0.004778338200159278,0.19274716420006763,7.365945544715346e-05,0.2253968253968254,16
121,0.0007963897000265464,0.20832089322928388,0.0002377824045285694,0.2,5
122,0.001858242633395275,0.20129643357990934,1.4617977749788449e-05,0.4725274725274725,13
123,0.00371648526679055,0.2962052331014977,2.681845401289716e-05,0.43915343915343913,24
124,0.005840191133528007,0.28641916879648865,1.0861937522779433e-05,0.4429175475687104,39
125,0.0002654632333421821,0.22944986777854312,0.0,1.0,2
126,0.0017255110167241838,0.2235806851316484,0.00011070301319343576,0.47435897435897434,13
127,0.0031855588001061855,0.30700011612715383,5.0575880504864064e-05,0.35144927536231885,23
128,0.004778338200159278,0.2280499682265325,8.205103681307312e-05,0.6857142857142857,22
129,0.0013273161667109105,0.2680180814198396,1.1730556965603403e-06,0.4,9
130,0.0007963897000265464,0.1872355278184814,4.619510703050721e-07,0.5333333333333333,6
131,0.001990974250066366,0.184889906133201,6.746274448027746e-05,0.2761904761904762,9
132,0.0005309264666843643,0.2763731074401728,1.6540584654326012e-08,0.8333333333333334,4
133,0.0007963897000265464,0.2293154673257333,8.042305094027115e-05,0.7333333333333333,5
