beta,avg_spread
0.006337957679325956,6.888607459901606e-05
0.007836020403530273,7.788927911116707e-05
0.00933408312773459,9.962546320823825e-05
0.010832145851938906,0.00014707329378117954
0.012330208576143222,0.0002474876652755668
0.01382827130034754,0.00044385427995034257
0.015326334024551858,0.0007929457729057298
0.016824396748756174,0.0013615254935012032
0.01832245947296049,0.002210468507479687
0.019820522197164805,0.003361025420332881
0.021318584921369125,0.004701437512259657
0.02281664764557344,0.0057297978415683055
