node,soft_label,true_label,mask,run_split
0,0.6563402,0.6563402,0,val
1,0.4508643,0.4508643,0,val
2,0.35511485,0.35511485,0,val
3,0.86894447,0.86894447,0,val
4,0.4597367,0.4597367,0,val
5,0.24199931,0.24199931,0,val
6,1.0,1.0,0,val
7,0.47938687,0.47938687,0,val
8,0.15482472,0.15482472,0,val
9,0.74735063,0.74735063,0,val
10,0.46208385,0.46208385,0,val
11,0.6714364,0.6714364,0,val
12,0.6246164,0.6246164,0,val
13,0.318597,0.318597,0,val
14,0.14175573,0.14175573,0,val
15,0.39920485,0.39920485,0,val
16,0.14582641,0.14582641,0,val
17,0.26814362,0.26814362,0,val
18,0.028538119,0.028538119,0,val
19,0.12770152,0.12770152,0,val
20,0.25368884,0.25368884,0,val
21,0.22172743,0.22172743,0,val
22,0.09501891,0.09501891,0,val
23,0.14701414,0.14701414,0,val
24,0.15033162,0.15033162,0,val
25,0.27435318,0.27435318,0,val
26,0.3253679,0.3253679,0,val
27,0.17853941,0.17853941,0,val
28,0.19732834,0.19732834,0,val
29,0.12591752,0.12591752,0,val
30,0.3553977,0.3553977,0,val
31,0.24714062,0.24714062,0,val
32,0.29771924,0.29771924,0,val
33,0.22070464,0.22070464,0,val
34,0.37524587,0.37524587,0,val
35,0.3005373,0.3005373,0,val
36,0.35468915,0.35468915,0,val
37,0.17215528,0.17215528,0,val
38,0.21366023,0.21366023,0,val
39,0.194113,0.194113,0,val
40,0.37633952,0.37633952,0,val
41,0.11793853,0.11793853,0,val
42,0.13705978,0.13705978,0,val
43,0.11993864,0.11993864,0,val
44,0.3279087,0.3279087,0,val
45,0.3601195,0.3601195,0,val
46,0.15788507,0.15788507,0,val
47,0.27230978,0.27230978,0,val
48,0.30327803,0.30327803,0,val
49,0.029044123,0.029044123,0,val
50,0.120659806,0.120659806,0,val
51,0.1816321,0.1816321,0,val
52,0.1366417,0.1366417,0,val
53,0.15944703,0.15944703,0,val
54,0.13161443,0.13161443,0,val
55,0.28912434,0.28912434,0,val
56,0.29607603,0.29607603,0,val
57,0.20042266,0.20042266,0,val
58,0.17705089,0.17705089,0,val
59,0.10204921,0.10204921,0,val
60,0.17843233,0.17843233,0,val
61,0.1475596,0.1475596,0,val
62,0.39653248,0.39653248,0,val
63,0.43481666,0.43481666,0,val
64,0.22458084,0.22458084,0,val
65,0.15364142,0.15364142,0,val
66,0.3284947,0.3284947,0,val
67,0.17748927,0.17748927,0,val
68,0.16876526,0.16876526,0,val
69,0.31687158,0.31687158,0,val
70,0.38812503,0.38812503,0,val
71,0.19881389,0.19881389,0,val
72,0.24434231,0.24434231,0,val
73,0.2873466,0.2873466,0,val
74,0.19565952,0.19565952,0,val
75,0.19802082,0.19802082,0,val
76,0.33567697,0.33567697,0,val
77,0.16132346,0.16132346,0,val
78,0.22847095,0.22847095,0,val
79,0.24992517,0.24992517,0,val
80,0.03567593,0.03567593,0,val
81,0.35570288,0.35570288,0,val
82,0.5200133,0.5200133,0,val
83,0.21153721,0.21153721,0,val
84,0.3355952,0.3355952,0,val
85,0.24718453,0.24718453,0,val
86,0.41040406,0.41040406,0,val
87,0.3181373,0.3181373,0,val
88,0.25930545,0.25930545,0,val
89,0.14884077,0.14884077,0,val
90,0.22209798,0.22209798,0,val
91,0.5023057,0.5023057,0,val
92,0.13016209,0.13016209,0,val
93,0.1640944,0.1640944,0,val
94,0.2380269,0.2380269,0,val
95,0.3046602,0.3046602,0,val
96,0.11428386,0.11428386,0,val
97,0.30620858,0.30620858,0,val
98,0.16900122,0.16900122,0,val
99,0.26420432,0.26420432,0,val
100,0.23027927,0.23027927,0,val
101,0.18553239,0.18553239,0,val
102,0.20917836,0.20917836,0,val
103,0.17417565,0.17417565,0,val
104,0.25231627,0.25231627,0,val
105,0.26936066,0.26936066,0,val
106,0.17577818,0.17577818,0,val
107,0.114550374,0.114550374,0,val
108,0.15865456,0.15865456,0,val
109,0.12114775,0.12114775,0,val
110,0.25186095,0.25186095,0,val
111,0.120925575,0.120925575,0,val
112,0.32870907,0.32870907,0,val
113,0.27565894,0.27565894,0,val
114,0.35254598,0.35254598,0,val
115,0.1706124,0.1706124,0,val
116,0.13205408,0.13205408,0,val
117,0.36206335,0.36206335,0,val
118,0.25189883,0.25189883,0,val
119,0.45193842,0.45193842,0,val
120,0.264964,0.264964,0,val
121,0.15963069,0.15963069,0,val
122,0.20203207,0.20203207,0,val
123,0.57185274,0.57185274,0,val
124,0.3360909,0.3360909,0,val
125,0.11099307,0.11099307,0,val
126,0.28798375,0.28798375,0,val
127,0.08607896,0.08607896,0,val
128,0.24228285,0.24228285,0,val
129,0.43892753,0.43892753,0,val
130,0.35597086,0.35597086,0,val
