beta,avg_spread
0.01918228279386712,0.010761896404631767
0.023716276908781166,0.012244813464422256
0.028250271023695213,0.014695289946658245
0.032784265138609256,0.017889476503840974
0.037318259253523306,0.022072565796194175
0.041852253368437356,0.027294771841579482
0.0463862474833514,0.03337900936938833
0.05092024159826544,0.040413660609484876
0.05545423571317949,0.04841402884301184
0.05998822982809354,0.05730538641201675
0.06452222394300758,0.0667003179942643
0.06905621805792163,0.07365258294599948
