node,soft_label,spread_beta_0,spread_beta_1,spread_beta_2,spread_beta_3,spread_beta_4,spread_beta_5,spread_beta_6,spread_beta_7,spread_beta_8,spread_beta_9,spread_beta_10,spread_beta_11
0,0.04155775283761954,9.558022585717742e-05,8.995978439413019e-05,9.144777143887253e-05,0.00010493876465375143,0.00013382233341595388,0.00022832980307989657,0.0003952397149636908,0.00044759711561208565,0.00029985669403390574,0.000154016807345117,0.00010502978126300218,9.788991153650761e-05
1,0.11312848767187626,0.0002058837787620947,0.00022248119334018543,0.0002509723826452356,0.00029632552725281894,0.0004534861225453927,0.000767044480861681,0.00140646251298957,0.002729855083202647,0.0047301235958654726,0.006724252574534426,0.008836376401843345,0.011665467694980535
2,0.05329351052403893,8.588934173621359e-05,8.808208306716067e-05,9.325342383870492e-05,0.00010938938050189555,0.00016585569034715337,0.000289738071653042,0.00045142591848504527,0.0006451723007789784,0.0008773253379165885,0.0013719259451018357,0.0019560477582523496,0.00180609963288788
3,0.028356791298771958,9.901929389279638e-05,0.00010538924226865405,0.00011851925444106668,0.00013685312174274508,0.0001569061522822242,0.00019568214940320192,0.00034983107595624357,0.0006459574308289278,0.0008176911852242079,0.0010300863197359447,0.0021269198723144053,0.0035817058105280953
4,0.016247894152962856,7.423353871279045e-05,7.423353871279045e-05,7.423353871279045e-05,7.423353871279045e-05,7.423353871279045e-05,7.430879422325416e-05,7.685580379735655e-05,0.00010890470146088002,0.0002628409999582437,0.0005344925013676375,0.0006051117283860658,0.0004002499277882264
5,0.018919112124207136,7.887375580239317e-05,7.88955596906961e-05,7.918668407901674e-05,8.079387828880992e-05,8.484469848885342e-05,9.385297015337629e-05,0.0001556192404474308,0.0004116982938214068,0.0007407416454590591,0.0006840593790534405,0.00034790131262936143,0.00014957667680815055
6,0.021545892591709834,7.807108238953913e-05,7.861161956236972e-05,7.979729992135522e-05,8.107757875332509e-05,8.425389258987416e-05,0.00010689937376977,0.00019273538301083272,0.0003547022664511575,0.0005466590588444247,0.000746596854662587,0.00088629691501944,0.0009037463774973012
7,0.05815625195961783,0.00010188043738699502,0.00011249452464490422,0.00014166344704148216,0.00024238386106070553,0.00039007254849349535,0.00044607074091579396,0.0005242384808917449,0.000942302355118481,0.0017833320005628565,0.0029772952250219156,0.00436417519674066,0.005576719049391398
8,0.016348158218119312,7.608937718061021e-05,7.608950136462088e-05,7.609361377426013e-05,7.614371317985429e-05,7.63691124264107e-05,7.676808661234373e-05,7.734331240998453e-05,7.896512152495084e-05,8.156054516379792e-05,8.313237905718075e-05,8.348307489633981e-05,8.351186176381459e-05
9,0.017479986736400714,7.549478408768088e-05,7.582035043430157e-05,7.613560715872732e-05,7.694475616177119e-05,7.95897296508979e-05,8.303093876702475e-05,8.470354051683322e-05,8.998216438473722e-05,0.00013052944513199018,0.0002970076936921796,0.0005900949568370568,0.0007996520030379827
11,0.12532338152497707,0.00010400862683034763,0.00011300823691005589,0.00014683877261563645,0.00021485070481586988,0.00035797395483571227,0.0007451434640856124,0.0016722196290575183,0.0033169030964574726,0.005104762971386369,0.006291781246576885,0.007062238566930673,0.00759427043256369
12,0.20670922161488994,0.00012215370189162315,0.0001440901207012227,0.00020584611461846162,0.00035076550401923136,0.0006516071911933897,0.0012769056721881064,0.0020468335320332973,0.003166486428244486,0.005717880579266808,0.00917743101374677,0.01292972910228283,0.016017857707470225
13,0.04461997985909575,7.91901786585111e-05,8.87257608907124e-05,0.0001101033366695626,0.0001323091721299166,0.00016393790735347736,0.000270313226163855,0.0004296233524112327,0.0006407798962352938,0.0012726578006176455,0.0022029959911189275,0.002482653298936163,0.002091634731772908
14,0.020850445806696614,8.62057985994062e-05,8.988929325257517e-05,9.443377373296501e-05,9.93761953424034e-05,0.00010885984725848098,0.00012186188186885159,0.00012966926648446992,0.00013401393994022425,0.0001479860901634427,0.0002482422980952176,0.0006600084821994564,0.0012492252360986585
15,0.01881335935030514,7.957172401773009e-05,8.139315393988501e-05,8.486371444377392e-05,8.904220251294072e-05,9.356408311056875e-05,0.00010153869511774832,0.00013824627873048424,0.00029130379058017785,0.0006120179205059133,0.0008387348363573302,0.0009327011033919551,0.0012168176127246447
16,0.14471626729931014,0.00013464727868502032,0.0001540587470895128,0.000198156408884179,0.0002961561649501065,0.0004806018408979768,0.000920730774446106,0.0019355697418666292,0.0033487436825574966,0.004726501053002999,0.006526458745376641,0.00914424076467139,0.011078905044769626
17,0.017837052430417694,8.341496883371535e-05,8.460373169599518e-05,8.594115507927825e-05,8.775401293152505e-05,9.13738792039736e-05,9.559992393826978e-05,9.909886704647747e-05,0.00010072133146310448,0.00010548427849485163,0.00015061587241472802,0.00033667652402153336,0.0006032199460056403
18,0.009659992990261,9.503499034620085e-05,0.00012168885230574482,0.00013648937849114915,0.00011602073684390175,9.146216318354952e-05,8.389729981371122e-05,0.00010068638470384885,0.00017744379748576937,0.0003322389125166444,0.0007165730029850539,0.00146462822232187,0.0020701089930237867
19,0.01651049268078256,7.582786186064008e-05,7.646828605438965e-05,7.691734597135312e-05,7.711799196175108e-05,7.759172633655007e-05,7.853274696386451e-05,7.988017508277627e-05,8.146934798707613e-05,8.24758914514699e-05,8.312559735883132e-05,8.38821732662835e-05,8.432350510001115e-05
20,0.016219669050339787,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516170631472167e-05,7.516993113400018e-05,7.527012994518848e-05,7.571918986215196e-05,7.645931613104714e-05,7.690015122873212e-05
21,0.07566304849075141,9.272718882185943e-05,0.00010204927350342433,0.00011334900179607867,0.00014174534130911376,0.0002317303686898488,0.00043081626263477373,0.000769037962938402,0.0012378586132270849,0.0016591958461835029,0.0023792201632670228,0.0036128589148888847,0.004203243740343747
22,0.016870034097572786,8.048091291520325e-05,8.128310326657834e-05,8.254009837325516e-05,8.434194168273882e-05,8.593450821787885e-05,8.750237494381774e-05,9.123166153817364e-05,9.608367452776847e-05,9.969736751898743e-05,0.00010304391071357726,0.00010542984783981163,0.00010665448681496728
23,0.0484923913703602,7.493185791747142e-05,7.661240654706933e-05,8.941611318737412e-05,0.00014170833518215739,0.00022136992708685728,0.0002987625330566106,0.00041824831599956904,0.0005466294743497798,0.0006365159908869953,0.00072486729704981,0.0009820423416317127,0.0013684737606047038
25,0.016513477434677442,7.800378824132396e-05,7.822420579016643e-05,7.859488984466737e-05,7.883998185134538e-05,7.914057828491028e-05,8.026808559102224e-05,8.214382082515972e-05,8.356669449910133e-05,8.515203404904474e-05,8.724379434324012e-05,8.793034236765644e-05,8.726992995856502e-05
26,0.016588637817891973,7.621100732806946e-05,7.670593005697716e-05,7.772093405796957e-05,7.877343280719422e-05,7.958636336918516e-05,8.056527762202874e-05,8.285456224369444e-05,8.780953103297565e-05,9.534986390844158e-05,0.00010210037639643668,0.00010513799740784983,0.00010573345808734261
27,0.016220506139168842,7.456674066976034e-05,7.488682858262444e-05,7.510724613146692e-05,7.515722135305042e-05,7.516133376268967e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05
28,0.05096038540899511,9.402322734731265e-05,9.978628100930497e-05,0.00011546212251820156,0.00014666427922427832,0.0001978614736757111,0.0003154162420911579,0.0004915472129308648,0.0008148755819871869,0.0015405204114346542,0.00246296089296261,0.003538273573893592,0.0045208167033006005
29,0.027755876439646,9.423537212496608e-05,9.553273086282163e-05,9.93131100183473e-05,0.0001059412585791426,0.0001215181479699958,0.00016204716168320672,0.000250085959217179,0.00031055800160954914,0.00025317237019792025,0.00027792696493383206,0.0006747529257851194,0.001266592932657442
30,0.01621964248092924,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05,7.516145794670033e-05
31,0.16284454276071558,0.00013178528409133218,0.00015726989571787734,0.00020098538744623063,0.00028821056295644265,0.0005234533721650868,0.0010002366969920431,0.0019724798900757658,0.004252022759027228,0.008319150869407653,0.012871121235226518,0.01529217667251912,0.015092436154717663
32,0.016646056525995583,7.503153616961728e-05,7.630646742370605e-05,7.867111221488522e-05,8.230363242738733e-05,8.496436901727698e-05,8.431068651060182e-05,8.81055045178661e-05,0.00014292697990378933,0.00036230807917607107,0.000622933654448361,0.0005554126083914759,0.0003179895669632411
33,0.01649334183158395,7.857551716351972e-05,8.004355563254049e-05,8.228934032656186e-05,8.362818474872682e-05,8.398763385433108e-05,8.495653932605912e-05,8.676210984244885e-05,8.78812681452716e-05,8.814809062778872e-05,8.836855356231893e-05,8.925084467774221e-05,9.053119632919864e-05
34,0.04269645835127467,9.721562480135698e-05,0.00010343502464940096,0.00011628805201110912,0.00013061274255763637,0.00015171340796438785,0.00025902547049902794,0.0006729017449496318,0.0014423417647764555,0.0021129727930950483,0.0026331649225460178,0.0036199718903078427,0.004821925858850474
35,0.04227622071338115,0.00011811368091229444,0.00011124375220774323,0.0001135416992383373,0.00013405941174649634,0.00018844363184784358,0.0002608245433604722,0.00036445977392700834,0.0005462630313855957,0.0006217391926173303,0.0006769714582679338,0.0010746188916438736,0.00154189226385242
36,0.017619222390188413,9.225447005649008e-05,9.460956570561324e-05,9.840525083484475e-05,0.00010190576663385124,0.00010487506190411827,0.0001086533270286171,0.00011269134805081508,0.00012151954205168052,0.0001906907931927939,0.0004531924614453887,0.0006867849356609541,0.0005504370750890532
37,0.0178746582549061,8.410181061184071e-05,8.613650655783038e-05,8.852345724043541e-05,9.027175872477463e-05,9.300037353757106e-05,9.83005915082671e-05,0.00010238289972909889,0.00010206117474321389,0.00010443978790800819,0.00014813241200699513,0.0003331365449278232,0.0005986567698027831
38,0.06299878383245333,9.065712591304148e-05,9.630714400948444e-05,0.00011613653857473565,0.0001559770750485563,0.0002258205274839568,0.0003835890029832657,0.0005284988361617823,0.0005245338697186687,0.0007056815096523793,0.0012519416588503978,0.002046269768218745,0.0028095212467032253
