beta,avg_spread
0.0005780547007830502,9.1926755304786e-05
0.0007146858118772258,9.833129739914016e-05
0.0008513169229714013,0.00011166558083357709
0.0009879480340655767,0.00013614323756967785
0.0011245791451597524,0.00018250297379578484
0.0012612102562539278,0.0002719587426821456
0.0013978413673481033,0.0004371285587628165
0.0015344724784422787,0.0007128715986169437
0.0016711035895364543,0.0011286559947567003
0.0018077347006306298,0.0016973534926686827
0.0019443658117248054,0.002362458039848021
0.002080996922818981,0.002874389080861266
