beta,avg_spread
0.016910617420415722,0.0004797765818315871
0.02090767244705944,0.0005446573238295428
0.024904727473703155,0.0006639515298706091
0.028901782500346872,0.000838158510565243
0.03289883752699059,0.0010774420805008899
0.036895892553634305,0.0013891725195295719
0.04089294758027802,0.0017763335717947784
0.04489000260692174,0.002237086601389314
0.04888705763356546,0.002775705604070896
0.052884112660209176,0.003390935504668048
0.05688116768685289,0.004030301381252505
0.060878222713496605,0.00448953052016361
