beta,avg_spread,dataset
0.0100915852443234,0.0005082773770858,Cora
0.0124768690293453,0.000543221453184,Cora
0.0148621528143672,0.0006015838371772,Cora
0.0172474365993891,0.0006772119003289,Cora
0.019632720384411,0.0007743643714373,Cora
0.0220180041694329,0.0008987860157818,Cora
0.0244032879544548,0.0010537324674286,Cora
0.0267885717394767,0.0012521138145626,Cora
0.0291738555244986,0.0015165386217299,Cora
0.0315591393095205,0.0018590766171447,Cora
0.0339444230945424,0.0022589025088815,Cora
0.0363297068795643,0.0025695560734359,Cora
0.0169106174204157,0.0004797765818315,CiteSeer
0.0209076724470594,0.0005446573238295,CiteSeer
0.0249047274737031,0.0006639515298706,CiteSeer
0.0289017825003468,0.0008381585105652,CiteSeer
0.0328988375269905,0.0010774420805008,CiteSeer
0.0368958925536343,0.0013891725195295,CiteSeer
0.040892947580278,0.0017763335717947,CiteSeer
0.0448900026069217,0.0022370866013893,CiteSeer
0.0488870576335654,0.0027757056040708,CiteSeer
0.0528841126602091,0.003390935504668,CiteSeer
0.0568811676868528,0.0040303013812525,CiteSeer
0.0608782227134966,0.0044895305201636,CiteSeer
0.0063379576793259,6.888607459901606e-05,PubMed
0.0078360204035302,7.788927911116707e-05,PubMed
0.0093340831277345,9.962546320823824e-05,PubMed
0.0108321458519389,0.0001470732937811,PubMed
0.0123302085761432,0.0002474876652755,PubMed
0.0138282713003475,0.0004438542799503,PubMed
0.0153263340245518,0.0007929457729057,PubMed
0.0168243967487561,0.0013615254935012,PubMed
0.0183224594729604,0.0022104685074796,PubMed
0.0198205221971648,0.0033610254203328,PubMed
0.0213185849213691,0.0047014375122596,PubMed
0.0228166476455734,0.0057297978415683,PubMed
0.000578054700783,9.1926755304786e-05,Computers
0.0007146858118772,9.833129739914016e-05,Computers
0.0008513169229714,0.0001116655808335,Computers
0.0009879480340655,0.0001361432375696,Computers
0.0011245791451597,0.0001825029737957,Computers
0.0012612102562539,0.0002719587426821,Computers
0.0013978413673481,0.0004371285587628,Computers
0.0015344724784422,0.0007128715986169,Computers
0.0016711035895364,0.0011286559947567,Computers
0.0018077347006306,0.0016973534926686,Computers
0.0019443658117248,0.002362458039848,Computers
0.0020809969228189,0.0028743890808612,Computers
0.0009811732172252,0.0001854544399716,Photo
0.0012130868867511,0.0002108933048753,Photo
0.0014450005562771,0.000269479612293,Photo
0.001676914225803,0.000386599042329,Photo
0.001908827895329,0.0006084628244759,Photo
0.002140741564855,0.0009940600843606,Photo
0.0023726552343809,0.001589577734032,Photo
0.0026045689039069,0.002407237522133,Photo
0.0028364825734328,0.0034459578529288,Photo
0.0030683962429588,0.0047002863747575,Photo
0.0033003099124848,0.0060578290508915,Photo
0.0035322235820107,0.0070554577740866,Photo
0.0058082292819095,9.248094127397183e-05,CS
0.0071810834758154,0.0001144997896811,CS
0.0085539376697213,0.0001788869347678,CS
0.0099267918636272,0.0003731239322263,CS
0.0112996460575331,0.0009569599948344,CS
0.012672500251439,0.0024475709820813,CS
0.0140453544453448,0.005435181487359,CS
0.0154182086392507,0.0101864631559146,CS
0.0167910628331566,0.0165702063838212,CS
0.0181639170270625,0.0242737676081285,CS
0.0195367712209684,0.0324801504543922,CS
0.0209096254148743,0.0384697995936873,CS
0.0033063217892701,6.660699278628175e-05,Physics
0.0040878160303704,0.0001396573680441,Physics
0.0048693102714706,0.0003900563819124,Physics
0.0056508045125708,0.0009961221679626,Physics
0.0064322987536711,0.0021148223385165,Physics
0.0072137929947713,0.0038356028022359,Physics
0.0079952872358715,0.0062202173287876,Physics
0.0087767814769717,0.0093451244416028,Physics
0.009558275718072,0.0132969152781888,Physics
0.0103397699591722,0.0180855558218063,Physics
0.0111212642002724,0.0232997528754227,Physics
0.0119027584413726,0.0271662253487037,Physics
