beta,avg_spread
0.005808229281909543,9.248094127397183e-05
0.007181083475815435,0.00011449978968113948
0.008553937669721328,0.00017888693476783617
0.009926791863627219,0.0003731239322263553
0.01129964605753311,0.000956959994834426
0.012672500251439003,0.0024475709820813924
0.014045354445344896,0.005435181487359077
0.015418208639250787,0.010186463155914646
0.016791062833156678,0.016570206383821277
0.01816391702706257,0.024273767608128584
0.019536771220968464,0.03248015045439229
0.020909625414874355,0.038469799593687355
