source,target,path_nodes,candidate_rank,avg_node_importance,internal_node_importance,avg_edge_bc,cross_comm_ratio,path_length,path_length_int,shortest_len,same_community,pair_score,stretch_ratio,efficiency_ratio,max_edge_bc,node_importance_entropy,community_diversity,delta_E,delta_LCC,delta_ASP,fragility_score,y_fragility,y_single,y_marginal,y_gain,y,relevance
68,139,"[68, 1358, 1483, 1072, 306, 139]",13,0.8205316364765167,0.8112472951412201,0.007368713780916014,0.4,5.0,5,4.0,0.0,1.67820063829422,1.25,0.8,0.013112682014527954,1.468943119984335,0.5,0.018171370296370337,0.005908419497784312,0.6293111407334333,0.29318426699304867,0.29318426699304867,0.29318426699304867,0.3419541780851868,0.3419541780851868,0.3419541780851868,4
68,139,"[68, 1986, 519, 2045, 139]",6,0.8328818154335021,0.828736146291097,0.006297050108793314,0.25,4.0,4,4.0,0.0,1.67820063829422,1.0,1.0,0.012923053018143301,1.3800421108285446,0.4,0.0075371760184258785,0.006277695716395804,0.06021523410549001,0.03124230215760474,0.03124230215760474,0.03124230215760474,0.1258772420108114,0.1258772420108114,0.1258772420108114,4
68,139,"[68, 1986, 476, 306, 103, 139]",8,0.8113175710042317,0.7974261969327927,0.004677500573647412,0.4,5.0,5,4.0,0.0,1.67820063829422,1.25,0.8,0.012923053018143301,1.5913769840652923,0.5,0.0031728923853922564,0.007016248153618898,0.0,0.001745090811965741,0.001745090811965741,0.001745090811965741,0.11092894336001333,0.11092894336001333,0.11092894336001333,4
68,139,"[68, 1358, 1483, 306, 139]",4,0.8246335577964782,0.8149890502293905,0.008005046501199424,0.5,4.0,4,4.0,0.0,1.67820063829422,1.0,1.0,0.013112682014527954,1.2255326916156668,0.6,0.014134752053502175,0.00553914327917282,0.6022785269833859,0.2787994507719499,0.2787994507719499,0.2787994507719499,0.10272260331803718,0.10272260331803718,0.10272260331803718,3
68,139,"[68, 1986, 215, 2045, 139]",5,0.8268413496017455,0.8186687032381693,0.004324709680091644,0.25,4.0,4,4.0,0.0,1.67820063829422,1.0,1.0,0.012923053018143301,1.2085888326331462,0.4,0.009132005494505546,0.00553914327917282,0.3643089542818876,0.16896163244882748,0.16896163244882748,0.16896163244882748,0.055860665551089386,0.055860665551089386,0.055860665551089386,3
68,139,"[68, 391, 1986, 476, 306, 139]",9,0.8012650132179261,0.7823473602533341,0.002410844069029249,0.4,5.0,5,4.0,0.0,1.67820063829422,1.25,0.8,0.004948147234889401,1.449166082240809,0.5,0.008407376651126564,0.007016248153618898,0.17872009409919176,0.08504809950275591,0.08504809950275591,0.08504809950275591,0.021132651880962687,0.021132651880962687,0.021132651880962687,3
68,139,"[68, 1358, 1072, 236, 306, 139]",10,0.8244020481904347,0.8170529127120971,0.008842299936630956,0.4,5.0,5,4.0,0.0,1.67820063829422,1.25,0.8,0.028758591332667796,1.5478213078901875,0.5,0.01526680472305475,0.00553914327917282,0.6917694646099557,0.3196930016721602,0.3196930016721602,0.3196930016721602,0.017715816783242137,0.017715816783242137,0.017715816783242137,2
68,139,"[68, 1358, 341, 2045, 139]",7,0.8348924994468689,0.8320872863133749,0.005023194721834167,0.5,4.0,4,4.0,0.0,1.67820063829422,1.0,1.0,0.013112682014527954,1.3481842261354555,0.6,0.01229898088023082,0.00553914327917282,0.27912137834021067,0.13236905973722174,0.13236905973722174,0.13236905973722174,0.010760903637894056,0.010760903637894056,0.010760903637894056,2
68,139,"[68, 1358, 1483, 306, 103, 139]",14,0.8236360927422841,0.8159039795398713,0.0064576084324742865,0.4,5.0,5,4.0,0.0,1.67820063829422,1.25,0.8,0.013112682014527954,1.4388481760936886,0.5,0.011764131701631597,0.005908419497784312,0.47460591382905726,0.22004293365897315,0.22004293365897315,0.22004293365897315,0.003488758660732491,0.003488758660732491,0.003488758660732491,2
68,139,"[68, 1986, 519, 306, 103, 139]",12,0.8261254330476125,0.8196379899978639,0.006179732286448855,0.2,5.0,5,4.0,0.0,1.67820063829422,1.25,0.8,0.012923053018143301,1.498909932238213,0.3333333333333333,0.006803359140859194,0.006646971935007295,0.2741127614543295,0.12709259018192082,0.12709259018192082,0.12709259018192082,-0.024737761756669915,-0.024737761756669915,-0.024737761756669915,1
