beta,avg_spread
0.010091585244323435,0.0005082773770858439
0.012476869029345338,0.0005432214531840224
0.01486215281436724,0.0006015838371772094
0.017247436599389144,0.0006772119003289265
0.019632720384411047,0.0007743643714373756
0.02201800416943295,0.0008987860157818632
0.02440328795445485,0.0010537324674286348
0.026788571739476755,0.0012521138145626903
0.02917385552449866,0.0015165386217299533
0.03155913930952056,0.0018590766171447202
0.033944423094542465,0.0022589025088815013
0.03632970687956437,0.0025695560734359892
